build,computer.platform,computer.touch,date,time,subject,group,sessionid,blockcode,blocknum,trialcode,list.ITI.currentvalue,list.preClockFreeze.currentvalue,latency,list.ISI.currentvalue,block,trialCount,trial,run_trial,block_trial,block_type,trial_type,last_block_type,generate_new_erasure,trial_since_erasure_gen,att_index,era_index,x_final,y_final,ITI_index,seed,list.era_loc.currentvalue,has_erasure,list.att_loc.currentvalue,n_clicks,n_clicks_era_only,timeout_block,timeouts_remain,stim_center_deg,startPos,pos_shifted,rt_shifted,mag,inc_rg,inc,rng,freq,choose_stim,erasure_value,current_erasure,curr_min,list.spread.nextvalue,curr_mean,curr_max,new_mean,to_h,to_l,smooth_kernel2,rt_index,erasure_RT,right_index,left_index,stim_left_deg,stim_right_deg,scanner_sync,trial_start,freeze_start,ISI_start,feedback_start,ITI_start,erasure_blocks,attentional_control,local_uncertainty,picture.planet.item.1,picture.animatedCircle.item.1,picture.feedback2.items.1,picture.stim.item.1,Earnings,totalEarnings
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,presscont,1,reminder1,,,624,,0,,0,0,,,,,1,,0,0,,,,5094,,,,,,0,2,,0,0,0,0,0,0,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0,wind,cloud,blank.png,blank.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,presscont,1,reminder2,,,282,,0,,0,0,,,,,1,,0,0,,,,5094,,,,,,0,2,,0,0,0,0,0,0,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0,wind,cloud,blank.png,blank.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,presscont,1,scanner_sync,,,1274,,0,,0,0,,,,,1,,0,0,,,,5094,,,,,,0,2,,0,0,0,0,0,0,,0.7,,,,,,,,,,,,,,,,,,4531,,,,,,0,wind,cloud,blank.png,blank.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,presscont,1,countdown,,,1000,,0,,0,0,,,,,1,,0,0,,,,5094,,,,,,0,2,,0,0,0,0,0,0,,0.7,,,,,,,,,,,,,,,,,,4531,,,,,,0,wind,cloud,blank.png,blank.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,482,665,1699,,1,1,1,1,1,erasure,erasure,,1,1,0,1,,,,5094,146,1,,0,0,0,2,236,81,,,0,,,,0.7,0,39,39,1,,nan,201,,,,,,146,161,131,221,251,4531,8738,8042,,,7539,1,wind,cloud,Planet1A.png,Ship1A.png,blank.png,fog0.png,,0
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,482,665,699,566,1,2,1,1,1,erasure,erasure,,0,1,0,1,,,,5094,146,1,,0,0,0,2,236,81,143.928,1999,112,112,112,0.380665197,0.7,0,39,39,1,,nan,201,,,,,54,146,161,131,221,251,4531,8738,8042,10475,11066,7539,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0336,0.0336
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,432,649,1542,566,1,2,2,2,2,erasure,erasure,erasure,0,2,0,1,,,,5094,146,1,,0,0,0,2,236,35,,,112,,,,0.7,0,39,39,1,,67.83407407,201,70.60555556,201,1,,54,146,161,131,221,251,4531,12874,12210,10475,11066,11770,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0336,0.0336
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,432,649,699,299,1,3,2,2,2,erasure,erasure,erasure,0,2,0,1,,,,5094,146,1,,0,0,0,2,236,35,327.024,4542,51,51,51,0.579606801,0.7,0,39,39,1,,67.83407407,201,70.60555556,201,1,,237,146,161,131,221,251,4531,12874,12210,14451,14767,11770,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0153,0.0489
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,349,532,2017,299,1,3,3,3,3,erasure,erasure,erasure,0,3,0,1,,,,5094,146,1,,0,0,0,2,236,48,,,51,,,,0.7,0,39,39,1,,67.73277778,201,70.60555556,201,1,,237,146,161,131,221,251,4531,16374,15824,14451,14767,15468,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0153,0.0489
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,349,532,699,416,1,4,3,3,3,erasure,erasure,erasure,0,3,0,1,,,,5094,146,1,,0,0,0,2,236,48,48.024,667,4,10,4,0.222934217,0.7,0,39,39,1,,67.73277778,201,70.60555556,201,1,,318,146,161,131,221,251,4531,16374,15824,18435,18885,15468,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.003,0.0519
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,466,516,1832,416,1,4,4,4,4,erasure,erasure,erasure,0,4,0,1,,,,5094,146,1,,0,0,0,2,236,37,,,4,,,,0.7,0,39,39,1,,67.83407407,201,70.60555556,201,1,,318,146,161,131,221,251,4531,20593,20061,18435,18885,19586,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.003,0.0519
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,466,516,699,316,1,5,4,4,4,erasure,erasure,erasure,0,4,0,1,,,,5094,146,1,,0,0,0,2,236,37,355.104,4932,33,33,33,0.110825748,0.7,0,39,39,1,,67.83407407,201,70.60555556,201,1,,265,146,161,131,221,251,4531,20593,20061,22459,22803,19586,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0099,0.0618
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,216,582,2593,316,1,5,5,5,5,erasure,erasure,erasure,0,5,0,1,,,,5094,146,1,,0,0,0,2,236,98,,,33,,,,0.7,0,39,39,1,,67.92981481,201,70.60555556,201,1,,265,146,161,131,221,251,4531,24327,23729,22459,22803,23504,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0099,0.0618
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,216,582,699,582,1,6,5,5,5,erasure,erasure,erasure,0,5,0,1,,,,5094,146,1,,0,0,0,2,236,98,269.496,3743,62,62,62,0.565798914,0.7,0,39,39,1,,67.92981481,201,70.60555556,201,1,,179,146,161,131,221,251,4531,24327,23729,26955,27553,23504,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0186,0.0804
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,282,599,2367,582,1,6,6,6,6,erasure,erasure,erasure,0,6,0,1,,,,5094,146,1,,0,0,0,2,236,21,,,62,,,,0.7,0,39,39,1,,67.83407407,201,70.60555556,201,1,,179,146,161,131,221,251,4531,29161,28544,26955,27553,28255,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0186,0.0804
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,282,599,699,249,1,7,6,6,6,erasure,erasure,erasure,0,6,0,1,,,,5094,146,1,,0,0,0,2,236,21,336.024,4667,45,10,10,0.894738346,0.7,0,39,39,1,,67.83407407,201,70.60555556,201,1,,246,146,161,131,221,251,4531,29161,28544,31563,31838,28255,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.003,0.0834
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,449,682,2304,249,1,7,7,7,7,erasure,erasure,erasure,0,7,0,1,,,,5094,146,1,,0,0,0,2,236,32,,,45,,,,0.7,0,39,39,1,,67.92981481,201,70.60555556,201,1,,246,146,161,131,221,251,4531,33695,32997,31563,31838,32539,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.003,0.0834
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,449,682,699,599,1,8,7,7,7,erasure,erasure,erasure,0,7,0,1,,,,5094,146,1,,0,0,0,2,236,32,11.088,154,24,24,24,0.670426792,0.7,0,39,39,1,,67.92981481,201,70.60555556,201,1,,281,146,161,131,221,251,4531,33695,32997,36034,36656,32539,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0072,0.0906
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,366,699,4281,599,1,8,8,8,8,erasure,erasure,erasure,0,8,0,1,,,,5094,146,1,,0,0,0,2,236,54,,,24,,,,0.7,0,39,39,1,,67.62592593,201,70.60555556,201,1,,281,146,161,131,221,251,4531,38448,37733,36034,36656,37358,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0072,0.0906
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,366,699,699,332,1,9,8,8,8,erasure,erasure,erasure,0,8,0,1,,,,5094,146,1,,1,1,0,2,236,54,232.632,3231,48.528,48,48.528,0.277502327,0.7,1,39,39,1,,67.62592593,201,70.60555556,201,1,,143,146,161,131,221,251,4531,38448,37733,42762,43115,37358,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0144,0.105
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,249,566,2998,332,1,9,9,9,9,erasure,erasure,erasure,0,9,0,1,,,,5094,146,1,,1,1,0,2,236,80,,,48.528,,,,0.7,1,39,39,1,,67.73277778,201,70.60555556,201,1,,143,146,161,131,221,251,4531,44667,44076,42762,43115,43817,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0144,0.105
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,249,566,699,216,1,10,9,9,9,erasure,erasure,erasure,0,9,0,1,,,,5094,146,1,,2,2,0,2,236,80,233.856,3248,44.78962963,45,44.78962963,0.571785053,0.7,1,39,39,1,,67.73277778,201,70.60555556,201,1,,144,146,161,131,221,251,4531,44667,44076,47699,47943,43817,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,fog0.png,0.0135,0.1185
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,399,632,268,216,1,10,10,10,10,erasure,no erasure,erasure,0,10,0,1,,,,5094,146,0,,,0,1,1,236,37,,,44.78962963,,,,0.7,,39,39,1,,67.62592593,201,70.60555556,201,1,,144,146,161,131,221,251,4531,49700,49052,47699,47943,48645,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.0135,0.1185
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,399,632,699,482,1,11,10,10,10,erasure,no erasure,erasure,0,10,0,1,,,,5094,146,0,,,0,1,1,236,37,242.496,3368,40.12,10,10,0.907664314,0.7,,39,39,1,,67.62592593,201,70.60555556,201,1,,152,146,161,131,221,251,4531,49700,49052,50003,50509,48645,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,blank.png,0.003,0.1215
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,clock,499,499,678,482,1,11,11,11,1,attention,attention,erasure,0,11,1,1,,,,5094,146,0,233,0,0,0,1,323,34,,,40.12,,,,0.7,0,39,39,1,,67.62592593,201,70.60555556,201,1,,152,146,161,131,308,338,4531,52218,51713,50003,50509,51210,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.003,0.1215
6.6.1,mac,0,2/6/24,16:43:42,1,1,1,experiment,2,feedback,499,499,699,266,1,12,11,11,1,attention,attention,erasure,0,11,1,1,,,,5094,146,0,233,0,0,0,1,323,34,261.216,3628,65,65,65,0.050601285,0.7,0,39,39,1,,67.62592593,201,70.60555556,201,1,,171,146,161,131,308,338,4531,52218,51713,52930,53211,51210,1,wind,cloud,Planet1A.png,Ship1A.png,Mushroom1A.png,wind0.png,0.0195,0.141
