"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","increasing"
"7","increasing"
"8","increasing"
"9","increasing"
"10","increasing"
"11","increasing"
"12","increasing"
"13","increasing"
"14","increasing"
"15","increasing"
"16","increasing"
"17","increasing"
"18","increasing"
"19","increasing"
"20","high"
"21","decreasing"
"22","decreasing"
"23","decreasing"
"24","decreasing"
"25","decreasing"
"26","decreasing"
"27","low"
"28","low"
"29","low"
"30","low"
"31","low"
"32","low"
"33","low"
"34","low"
"35","low"
"36","low"
"37","increasing"
"38","increasing"
"39","increasing"
"40","increasing"
"41","increasing"
"42","increasing"
"43","increasing"
"44","increasing"
"45","increasing"
"46","increasing"
"47","increasing"
"48","increasing"
"49","increasing"
"50","increasing"
"51","high"
"52","decreasing"
"53","decreasing"
"54","decreasing"
"55","decreasing"
"56","decreasing"
"57","low"
"58","low"
"59","low"
"60","low"
"61","low"
"62","low"
"63","low"
"64","low"
"65","low"
"66","low"
"67","low"
"68","low"
"69","low"
"70","low"
"71","increasing"
"72","increasing"
"73","increasing"
"74","increasing"
"75","increasing"
"76","increasing"
"77","increasing"
"78","increasing"
"79","increasing"
"80","increasing"
"81","increasing"
"82","increasing"
"83","increasing"
"84","high"
"85","decreasing"
"86","decreasing"
"87","decreasing"
"88","decreasing"
"89","decreasing"
"90","low"
"91","low"
"92","low"
"93","low"
"94","low"
"95","increasing"
"96","increasing"
"97","increasing"
"98","increasing"
"99","increasing"
"100","increasing"
"101","high"
"102","decreasing"
"103","decreasing"
"104","decreasing"
"105","decreasing"
"106","decreasing"
"107","decreasing"
"108","decreasing"
"109","decreasing"
"110","decreasing"
"111","decreasing"
"112","decreasing"
"113","decreasing"
"114","low"
"115","low"
"116","low"
"117","low"
"118","low"
"119","low"
"120","low"
"121","low"
"122","low"
"123","low"
"124","low"
"125","low"
"126","low"
"127","low"
"128","low"
"129","increasing"
"130","increasing"
"131","increasing"
"132","increasing"
"133","increasing"
"134","increasing"
"135","increasing"
"136","increasing"
"137","increasing"
"138","increasing"
"139","increasing"
"140","increasing"
"141","high"
"142","decreasing"
"143","decreasing"
"144","decreasing"
"145","decreasing"
"146","decreasing"
"147","decreasing"
"148","decreasing"
"149","decreasing"
"150","decreasing"
"151","decreasing"
"152","decreasing"
"153","decreasing"
"154","decreasing"
"155","decreasing"
"156","low"
"157","low"
"158","low"
"159","low"
"160","low"
"161","low"
"162","low"
"163","low"
"164","low"
"165","low"
"166","low"
"167","increasing"
"168","increasing"
"169","increasing"
"170","increasing"
"171","increasing"
"172","increasing"
"173","increasing"
"174","increasing"
"175","increasing"
"176","increasing"
"177","increasing"
"178","increasing"
"179","increasing"
"180","increasing"
"181","increasing"
"182","high"
"183","decreasing"
"184","decreasing"
"185","decreasing"
"186","decreasing"
"187","decreasing"
"188","low"
"189","low"
"190","low"
"191","low"
"192","low"
"193","low"
"194","low"
"195","low"
"196","low"
"197","low"
"198","low"
"199","low"
"200","increasing"
"201","increasing"
"202","increasing"
"203","increasing"
"204","increasing"
"205","increasing"
"206","increasing"
"207","increasing"
"208","high"
"209","decreasing"
"210","decreasing"
"211","decreasing"
"212","decreasing"
"213","decreasing"
"214","decreasing"
"215","decreasing"
"216","decreasing"
"217","decreasing"
"218","decreasing"
"219","decreasing"
"220","decreasing"
"221","low"
"222","low"
"223","low"
"224","low"
"225","low"
"226","low"
"227","increasing"
"228","increasing"
"229","increasing"
"230","increasing"
"231","increasing"
"232","increasing"
"233","increasing"
"234","increasing"
"235","increasing"
"236","increasing"
"237","increasing"
"238","increasing"
"239","increasing"
"240","high"
"241","decreasing"
"242","decreasing"
"243","decreasing"
"244","decreasing"
"245","decreasing"
"246","decreasing"
"247","decreasing"
"248","decreasing"
"249","decreasing"
"250","decreasing"
"251","decreasing"
"252","decreasing"
"253","decreasing"
"254","decreasing"
"255","low"
"256","low"
"257","low"
"258","low"
"259","low"
"260","low"
"261","low"
"262","low"
"263","increasing"
"264","increasing"
"265","increasing"
"266","increasing"
"267","increasing"
"268","increasing"
"269","increasing"
"270","increasing"
"271","high"
"272","decreasing"
"273","decreasing"
"274","decreasing"
"275","decreasing"
"276","decreasing"
"277","decreasing"
"278","decreasing"
"279","decreasing"
"280","decreasing"
"281","decreasing"
"282","decreasing"
"283","decreasing"
"284","low"
"285","low"
"286","low"
"287","low"
"288","low"
"289","low"
"290","low"
"291","low"
"292","low"
"293","low"
"294","low"
"295","low"
"296","low"
"297","low"
"298","low"
"299","increasing"
"300","increasing"
